PLAYER,TYPE,PRICE PAID,TEAM,Year,,,,
Yuzvendra Singh Chahal,Bowler,"₹10,00,000",Royal Challengers Bangalore,2014,,,,
David Warner,Batsman,"₹5,50,00,000",Sunrisers Hyderabad,2014,,,,
Amit Mishra,Bowler,"₹4,75,00,000",Sunrisers Hyderabad,2014,,,,
Bhuvneshwar Kumar,Bowler,"₹4,25,00,000",Sunrisers Hyderabad,2014,,,,
Aaron Finch,Batsman,"₹4,00,00,000",Sunrisers Hyderabad,2014,,,,
Karn Sharma,Bowler,"₹3,75,00,000",Sunrisers Hyderabad,2014,,,,
Darren Sammy,All-Rounder,"₹3,50,00,000",Sunrisers Hyderabad,2014,,,,
Ishant Sharma,Bowler,"₹2,60,00,000",Sunrisers Hyderabad,2014,,,,
Irfan Pathan,All-Rounder,"₹2,40,00,000",Sunrisers Hyderabad,2014,,,,
Moises Henriques,All-Rounder,"₹1,00,00,000",Sunrisers Hyderabad,2014,,,,
KL Rahul,Batsman,"₹1,00,00,000",Sunrisers Hyderabad,2014,,,,
Parveez Rasool,All-Rounder,"₹95,00,000",Sunrisers Hyderabad,2014,,,,
Jason Holder,Bowler,"₹75,00,000",Sunrisers Hyderabad,2014,,,,
Venugopal Rao,Batsman,"₹55,00,000",Sunrisers Hyderabad,2014,,,,
Naman Ojha,Wicket Keeper,"₹50,00,000",Sunrisers Hyderabad,2014,,,,
Brendan Taylor,Wicket Keeper,"₹30,00,000",Sunrisers Hyderabad,2014,,,,
Prasanth Parameswaran,Bowler,"₹30,00,000",Sunrisers Hyderabad,2014,,,,
Amit Paunikar,Wicket Keeper,"₹20,00,000",Sunrisers Hyderabad,2014,,,,
Ashish Reddy,Bowler,"₹20,00,000",Sunrisers Hyderabad,2014,,,,
Srikkanth Anirudha,Batsman,"₹20,00,000",Sunrisers Hyderabad,2014,,,,
Ricky Bhui,Batsman,"₹10,00,000",Sunrisers Hyderabad,2014,,,,
Chama Milind,Bowler,"₹10,00,000",Sunrisers Hyderabad,2014,,,,
Manprit Juneja,Batsman,"₹10,00,000",Sunrisers Hyderabad,2014,,,,
Michael Hussey,Batsman,"₹1,50,00,000",Chennai Super Kings,2015,,,,
Irfan Pathan,All-Rounder,"₹1,50,00,000",Chennai Super Kings,2015,,,,
Rahul Sharma,Bowler,"₹30,00,000",Chennai Super Kings,2015,,,,
Kyle Abbott,Bowler,"₹30,00,000",Chennai Super Kings,2015,,,,
Andrew Tye,Bowler,"₹20,00,000",Chennai Super Kings,2015,,,,
Pratyush Singh,All-Rounder,"₹10,00,000",Chennai Super Kings,2015,,,,
Ankush Bains,Wicket Keeper,"₹10,00,000",Chennai Super Kings,2015,,,,
